🚀 [Orquestador NASA] Iniciando para: Bitácora de Ensayos | Sitio: ensayos | Scope: all
   📁 DIST_PATH: /var/www/dist
   ⏱️ [inicio] procesados=0 lotes=0 uso=40.41 MB memoria=42.5 MB pico=42.5 MB tiempo=0.19s
🧹 Opcion --force activada. Invalidando la firma y forzando rebuild completo...
   ✔️ Assets de KaTeX publicados en /var/www/dist/vendor/katex
🧹 Limpieza de vida/muerte: 11 directorios HTML huerfanos eliminados en /var/www/dist
📊 Registros sucios/pendientes en BD: 300000 | Bloques: 1000 | Páginas a procesar: 300
   ⏱️ [posts] procesados=1000 lotes=1/300 uso=53.74 MB memoria=58.5 MB pico=58.5 MB tiempo=4.66s
   ⏱️ [posts] procesados=2000 lotes=2/300 uso=55.67 MB memoria=58.5 MB pico=58.5 MB tiempo=8.02s
   ⏱️ [posts] procesados=3000 lotes=3/300 uso=56.62 MB memoria=58.5 MB pico=58.5 MB tiempo=11.4s
   ⏱️ [posts] procesados=4000 lotes=4/300 uso=54.69 MB memoria=58.5 MB pico=58.5 MB tiempo=14.76s
   ⏱️ [posts] procesados=5000 lotes=5/300 uso=57.62 MB memoria=60.5 MB pico=60.5 MB tiempo=18.18s
   ⏱️ [posts] procesados=6000 lotes=6/300 uso=58.24 MB memoria=60.5 MB pico=60.5 MB tiempo=21.49s
   ⏱️ [posts] procesados=7000 lotes=7/300 uso=58.87 MB memoria=60.5 MB pico=60.5 MB tiempo=24.75s
   ⏱️ [posts] procesados=8000 lotes=8/300 uso=59.29 MB memoria=62.5 MB pico=62.5 MB tiempo=28.04s
   ⏱️ [posts] procesados=9000 lotes=9/300 uso=59.96 MB memoria=62.5 MB pico=62.5 MB tiempo=31.35s
   ⏱️ [posts] procesados=10000 lotes=10/300 uso=60.28 MB memoria=64.5 MB pico=64.5 MB tiempo=34.67s
   ⏱️ [posts] procesados=11000 lotes=11/300 uso=58.65 MB memoria=64.5 MB pico=64.5 MB tiempo=38.03s
   ⏱️ [posts] procesados=12000 lotes=12/300 uso=59.24 MB memoria=64.5 MB pico=64.5 MB tiempo=41.26s
   ⏱️ [posts] procesados=13000 lotes=13/300 uso=62.15 MB memoria=64.5 MB pico=64.5 MB tiempo=44.56s
   ⏱️ [posts] procesados=14000 lotes=14/300 uso=60.46 MB memoria=64.5 MB pico=64.5 MB tiempo=47.8s
   ⏱️ [posts] procesados=15000 lotes=15/300 uso=62.92 MB memoria=66.5 MB pico=66.5 MB tiempo=51.13s
   ⏱️ [posts] procesados=16000 lotes=16/300 uso=63.53 MB memoria=66.5 MB pico=66.5 MB tiempo=54.49s
   ⏱️ [posts] procesados=17000 lotes=17/300 uso=64.4 MB memoria=66.5 MB pico=66.5 MB tiempo=57.69s
   ⏱️ [posts] procesados=18000 lotes=18/300 uso=62.56 MB memoria=68.5 MB pico=68.5 MB tiempo=61.08s
   ⏱️ [posts] procesados=19000 lotes=19/300 uso=63.17 MB memoria=68.5 MB pico=68.5 MB tiempo=64.31s
   ⏱️ [posts] procesados=20000 lotes=20/300 uso=63.64 MB memoria=68.5 MB pico=68.5 MB tiempo=67.64s
   ⏱️ [posts] procesados=21000 lotes=21/300 uso=64.32 MB memoria=68.5 MB pico=68.5 MB tiempo=70.91s
   ⏱️ [posts] procesados=22000 lotes=22/300 uso=64.72 MB memoria=70.5 MB pico=70.5 MB tiempo=74.15s
   ⏱️ [posts] procesados=23000 lotes=23/300 uso=65.38 MB memoria=70.5 MB pico=70.5 MB tiempo=77.48s
   ⏱️ [posts] procesados=24000 lotes=24/300 uso=65.81 MB memoria=70.5 MB pico=70.5 MB tiempo=80.95s
   ⏱️ [posts] procesados=25000 lotes=25/300 uso=68.71 MB memoria=72.5 MB pico=72.5 MB tiempo=84.46s
   ⏱️ [posts] procesados=26000 lotes=26/300 uso=69.1 MB memoria=72.5 MB pico=72.5 MB tiempo=87.75s
   ⏱️ [posts] procesados=27000 lotes=27/300 uso=67.47 MB memoria=72.5 MB pico=72.5 MB tiempo=91.1s
   ⏱️ [posts] procesados=28000 lotes=28/300 uso=68.04 MB memoria=72.5 MB pico=72.5 MB tiempo=94.36s
   ⏱️ [posts] procesados=29000 lotes=29/300 uso=68.64 MB memoria=74.5 MB pico=74.5 MB tiempo=97.66s
   ⏱️ [posts] procesados=30000 lotes=30/300 uso=71.61 MB memoria=74.5 MB pico=74.5 MB tiempo=100.99s
